index,news_id,pos_words,pos_weights,neg_words,neg_weights
1,4381,"[""岁月"", ""。"", ""散文集"", ""书中"", ""需注意"", ""我们"", ""和"", ""笔触"", ""现世"", ""最"", ""读懂"", ""，"", ""疏离"", ""偷走"", ""扎心"", ""静好""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""媒体"", ""大众"", ""出现"", ""脱离"", ""衍生"", ""以"", ""常配"", ""怕"", ""语境"", ""容易"", ""过度"", ""引发"", ""内"", ""简单""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
2,4325,"[""私生活"", ""媒体"", ""二胎"", ""关注"", ""此前"", ""公众"", ""生二胎"", ""引发"", ""无聊"", ""知名"", ""社会"", ""假新闻"", ""均"", ""曾"", ""明星"", ""奚梦瑶""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","["","", ""判断"", ""何鸿燊"", ""需谨慎"", ""的"", ""真实性"", ""名人"", ""确认"", ""何猷"", ""开心"", ""未"", ""追着"", ""赌王"", ""但""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
3,6162,"[""公开"", ""餐饮业"", ""产品"", ""涉足"", ""表达"", ""常"", ""结婚"", ""有"", ""妻子"", ""歌手"", ""演员"", ""，"", ""品牌"", ""甜品店""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""Lorraine"", ""古巨基"", ""长跑"", ""爱意"", ""称为"", ""香港"", ""陈英雪"", ""两人"", ""年"", ""夫妻"", ""被"", ""稳定"", ""。"", ""20"", ""模范"", ""和""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
4,874,"["","", ""。"", ""逻辑"", ""和"", ""差异"", ""-"", ""可能"", ""而"", ""那种"", ""学校食堂""]","[0.000201, 0.000131, 6.5e-05, 5.7e-05, 5.2e-05, 3.2e-05, 3.2e-05, 2.4e-05, 2.3e-05, 1.7e-05]","[""盒饭"", ""城市"", ""塑料"", ""两者"", ""都"", ""包含"", ""，"", ""存在"", ""煎饼"", ""还有"", ""饭盒"", ""普通"", ""不贵"", ""混淆"", ""块钱"", ""套餐"", ""民工"", ""元"", ""哪"", ""现在""]","[-0.00018, -0.000141, -0.000109, -8e-05, -7.9e-05, -7.7e-05, -7.5e-05, -7.3e-05, -7.1e-05, -7.1e-05, -7e-05, -7e-05, -6.9e-05, -6.7e-05, -6.5e-05, -6e-05, -5.9e-05, -5.3e-05, -5e-05, -4.9e-05]"
5,147,[],[],"[""钓鱼岛"", ""及其"", ""附属"", ""岛屿"", ""是"", ""中国"", ""固有"", ""领土"", ""，"", ""中日"", ""双方"", ""在"", ""问题"", ""上"", ""存在"", ""争议"", ""。"", ""目前"", ""没有"", ""官方消息"", ""证实"", ""附近"", ""发生"", ""开火"", ""事件"", ""中国政府"", ""一贯主张"", ""通过"", ""和平"", ""对话""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,2323,"[""航空公司"", ""曾多次"", ""渠道"", ""常规"", ""航空"", ""欧洲"", ""LOGO"", ""官方"", ""会"", ""高调"", ""是不是"", ""配色"", ""专业"", ""带有"", ""）"", ""宣传"", ""不会"", ""市场"", ""之前"", ""换""]","[0.002966, 0.002235, 0.001963, 0.00193, 0.001847, 0.001818, 0.001677, 0.001657, 0.001631, 0.001588, 0.001568, 0.001538, 0.001509, 0.001508, 0.001417, 0.00131, 0.001256, 0.00122, 0.001159, 0.000973]","[""变"", ""需"", ""。"", ""具体"", ""和"", ""是"", ""通常"", ""核实"", ""位于"", ""通过""]","[-0.002082, -0.001883, -0.00165, -0.001551, -0.001516, -0.001044, -0.000824, -0.000752, -0.000708, -0.000634]"
7,3360,"[""使用"", ""出"", ""是"", ""永久"", ""外用"", ""罕见"", ""相关"", ""太"", "" "", ""此类"", ""老是"", ""谣言""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""根据"", "","", ""不可"", ""。"", ""严查"", ""真的"", ""风油精"", ""老师"", ""现在"", ""狠毒"", ""这"", ""吊销"", ""有"", ""但"", ""这种"", ""那么"", ""一种"", ""怎么""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
8,5518,"[""*"", ""Gianluca"", ""最终"", ""哲科"", ""解释"", ""岁"", ""意大利"", ""切尔西"", ""长期"", ""。"", ""济奥"", ""Di"", ""转会"", ""是"", "" "", ""传闻"", ""多次""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""存在"", ""合理"", ""但"", ""逻辑"", ""可靠"", ""涉及"", ""回购"", ""球队"", ""："", ""知识"", ""旧"", ""外租"", ""高薪""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
9,2669,"["","", ""误差"", ""。"", ""真假"", ""计量"", ""必要"", ""范围"", ""如"", ""太紧张"", ""盯"", ""记着"", ""记录""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""加油站"", ""，"", ""听说"", ""加油"", ""我"", ""投诉"", ""现代"", ""有人"", ""传闻"", ""大"", ""拨打"", ""视频"", ""难度"", ""显示屏"", ""设备"", ""国家"", ""不"", ""猫腻""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
10,1129,"[""需注意"", "","", ""整体"", ""差异"", ""（"", ""\"""", ""统计"", ""特定"", ""回头"", ""中国"", ""在"", ""票"", ""香港媒体"", ""样本偏差"", ""通常"", ""存在""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""朋友圈"", ""确实"", ""形成"", ""全是"", ""比例"", ""我"", ""较"", ""争议"", ""年"", ""跨境"", ""？"", ""网络"", ""带"", ""多""]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
